,Name,JapaneseName,Station,Restaurant_Type_1,Restaurant_Type_2,DinnerLowPrice,DinnerHighPrice,LunchLowPrice,LunchHighPrice,TotalRating,DinnerRating,LunchRating,ReviewNum,Lat,Long,IsJapaneseCuisine
20,AGOYA NORESORE,穴子家 NORESORE 京都本店,Nijojo Mae,Izakaya (Tavern),Seafood,"¥5,000","¥5,999","¥2,000","¥2,999",3.5,3.07,3.55,16,35.01258469,135.7536195,TRUE
21,bejo-tamucho,ベジョータ ムチョ 室町店,Shijo,Spain,Izakaya (Tavern),"¥3,000","¥3,999",,,3.16,3.16,,18,35.00138624,135.7579121,TRUE
22,TENTATION,タンタシオン,Sanjo,Bistro,Italian,"¥4,000","¥4,999",,,3.06,3.06,,3,35.0095578,135.7702899,FALSE
23,Izakayariraku,居酒屋 りらく,Karasuma,Yakitori (Grilled chicken),Fowl,"¥3,000","¥3,999",,,3.03,3.03,,24,35.00257147,135.7626947,TRUE
24,kyoutohyouto,京都 瓢斗 京都店,Karasuma,Pork Shabu Shabu,Shabu Shabu (Japanese Steamboat),"¥8,000","¥9,999","¥2,000","¥2,999",3.64,3.66,3.58,46,35.0055908,135.7583294,TRUE
25,Robatayagaburi,炉端屋 がぶり,Karasuma,Izakaya (Tavern),Seafood,"¥4,000","¥4,999",,,3.09,3.09,,16,35.00651711,135.7594454,TRUE
26,Kushiyachouemon,長右衛門 京都烏丸店,Karasuma,Izakaya (Tavern),Yakitori (Grilled chicken),"¥3,000","¥3,999",¥0,¥999,3.03,3.03,3.02,10,35.00508842,135.7620638,TRUE
27,Torattoriaviare,トラットリアヴィアーレ 京都本店,Kiyomizu Gojo,Italian,Western Cuisine,"¥5,000","¥5,999","¥1,000","¥1,999",3.44,3.3,3.31,33,34.99854227,135.7676828,FALSE
28,Komefuku,米福 京都木屋町,Sanjo,Tempura,Seafood,"¥3,000","¥3,999",,,3.06,3.06,,10,35.00829461,135.7706832,TRUE
29,Togiya,十祇家 木屋町御池店,Kyoto Shiyakusho Mae,Izakaya (Tavern),Chinese,"¥3,000","¥3,999","¥1,000","¥1,999",3.08,3.08,,23,35.0118284,135.7708614,FALSE
30,kushiyakimanten,串焼 満天 先斗町店,Sanjo,Yakitori (Grilled chicken),Kyoto Cuisine,"¥3,000","¥3,999",,,3.35,3.35,3.04,14,35.00796132,135.7710027,TRUE
31,Kurogewagyuutenshou,黒毛和牛 天正,Marutamachi,Yakiniku (BBQ Beef),Sukiyaki,"¥5,000","¥5,999",¥0,¥999,3.5,3.47,3.16,13,35.01466375,135.7603646,TRUE
32,Chizutakkarubikoshitsubaruvino,チーズタッカルビ×個室 バル・ヴィーノ,Sanjo,Izakaya (Tavern),Dining bar,"¥2,000","¥2,999",,,3.17,3.17,,10,35.00738941,135.7693292,TRUE
33,teppandainingukyoushikian,鉄板ダイニング 京四季庵,Gion Shijo,Teppanyaki,Steak,"¥5,000","¥5,999",,,3.06,3.06,,16,35.00508719,135.7711664,TRUE
34,Yasuma,靖馬,Kawaramachi,Izakaya (Tavern),Kyoto Cuisine,"¥3,000","¥3,999",,,3.02,3.02,,26,35.00437168,135.7697441,TRUE
35,In the Soup.,in the Soup.,Gion Shijo,Bar,Bistro,"¥3,000","¥3,999","¥1,000","¥1,999",3.02,3.03,,5,35.00412676,135.7727658,TRUE
36,Gionyakinikukokoro,祇園焼肉 志,Gion Shijo,Yakiniku (BBQ Beef),Horumon (BBQ Offel),"¥5,000","¥5,999",,,3.06,3.06,,5,35.00567025,135.7753752,TRUE
37,daininguba-daburyu-,Dining Bar W,Gion Shijo,Kappo (Traditional Japanese),Steak,"¥4,000","¥4,999",,,3.25,3.25,,17,35.00513665,135.7726471,TRUE
38,Kyoutodaina,京都ダイナー,Karasuma,Bistro,Bar,"¥3,000","¥3,999","¥2,000","¥2,999",3.54,3.53,3.32,82,35.00530675,135.7638808,TRUE
39,Zasoudouhigashiyamakyouto,THE SODOH HIGASHIYAMA KYOTO,Gion Shijo,Italian,Pasta,"¥6,000","¥7,999","¥2,000","¥2,999",3.61,3.61,3.58,272,34.99889633,135.7796679,FALSE
40,Gokyou,牛京 東九条店,Jujo,Yakiniku (BBQ Beef),Horumon (BBQ Offel),"¥3,000","¥3,999",,,3.04,3.04,,2,34.97540433,135.759546,TRUE
41,Ichifuji,一知富士,Shijo,Izakaya (Tavern),Kappo (Traditional Japanese),"¥4,000","¥4,999",,,3.05,3.05,,12,35.00137458,135.7582332,TRUE
42,Tsukihikarasuma,月陽 KARASUMA,Shijo,Izakaya (Tavern),Creative cuisine,"¥4,000","¥4,999","¥1,000","¥1,999",3.17,3.17,3.03,35,35.00140428,135.7573322,TRUE
43,Kyoutotempuraendou,京都 天ぷら圓堂 岡崎邸,Higashiyama,Tempura,Kaiseki (Traditional Japanese),"¥10,000","¥14,999","¥5,000","¥5,999",3.55,3.45,3.59,6,35.01616672,135.7802501,TRUE
44,Resutoraniro,restaurant IRO,Karasuma,Izakaya (Tavern),Creative cuisine,"¥4,000","¥4,999",,,3.08,3.08,,31,35.00291505,135.7632593,TRUE
45,Shuteimichiya,酒亭 道や,Karasuma Oike,Izakaya (Tavern),Seafood,"¥5,000","¥5,999",¥0,¥999,3.06,3.06,,1,35.01332192,135.7587254,TRUE
46,Trattoria La Pace,トラットリア ラパーチェ,Karasuma,Italian,Pizza,"¥4,000","¥4,999","¥1,000","¥1,999",3.51,3.3,3.51,52,35.00526009,135.7633476,FALSE
47,Izakayabambu,居酒屋 バンブー 京都駅前,Kyoto,Izakaya (Tavern),Kappo (Traditional Japanese),"¥3,000","¥3,999",,,3.02,3.02,,20,34.98456518,135.7531344,TRUE
48,Peppa,ペッパー,Kawaramachi,Okinawan Cuisine,Izakaya (Tavern),"¥3,000","¥3,999",,,3.08,3.09,,11,35.00511634,135.7703184,TRUE
49,Banikuryourisemmontenumayarou,馬肉料理専門店　馬野郎,Kawaramachi,Yakiniku (BBQ Beef),Shabu Shabu (Japanese Steamboat),"¥3,000","¥3,999",,,3.51,3.51,,52,35.00479581,135.7702928,TRUE
50,Teppanryourihanaroku,鉄板料理 花六,Gojo,Teppanyaki,Kyoto Cuisine,"¥10,000","¥14,999",,,3.47,3.47,,2,34.99345906,135.7595496,TRUE
51,Kyoutohanabi,京都ハナビ,Karasuma,Izakaya (Tavern),Japanese food (other),"¥2,000","¥2,999",,,3.12,3.12,,25,35.00267232,135.7625575,TRUE
52,Kyoutohananomai,京都 花の舞,Kyoto,Izakaya (Tavern),Seafood,"¥3,000","¥3,999",¥0,¥999,3.04,3.04,,11,34.98679091,135.7609745,TRUE
53,pontochoutanrakuyatoriume,先斗町 炭楽屋とりうめ,Sanjo,Yakitori (Grilled chicken),Izakaya (Tavern),"¥4,000","¥4,999",,,3.05,3.05,,7,35.0076733,135.7712113,TRUE
54,Osakanadekoboko,御肴 凸鉾,Kyoto,Izakaya (Tavern),Seafood,"¥3,000","¥3,999",,,3.42,3.42,,18,34.98970255,135.7611427,TRUE
55,Sunny,Sunny,Sanjo,Dining bar,Steak,"¥3,000","¥3,999","¥1,000","¥1,999",3.48,3.33,3.35,39,35.00881262,135.7708999,TRUE
56,Gochiya,ご馳家,Kyoto,Izakaya (Tavern),Creative cuisine,"¥3,000","¥3,999",¥0,¥999,3.18,3.13,3.1,33,34.98844046,135.7612791,TRUE
57,Shusaijoujou,酒菜 乗々,Kyoto,Creative cuisine,Izakaya (Tavern),"¥5,000","¥5,999",,,3.03,3.03,3.03,12,34.98836485,135.7552979,TRUE
58,o-rudeidainingukaza,オールデイダイニング カザ,Kyoto,Buffet style,Cafe,"¥4,000","¥4,999","¥2,000","¥2,999",3.41,3.08,3.52,15,34.98616083,135.7525041,TRUE
59,Yakinikudainingukinoe,焼肉ダイニング 甲,Kyoto Shiyakusho Mae,Yakiniku (BBQ Beef),Korean cuisine,"¥5,000","¥5,999",,,3.58,3.57,3.51,39,35.01226046,135.7641636,FALSE
60,Manjirou,萬治郎,Gion Shijo,Kaiseki (Traditional Japanese),Kyoto Cuisine,"¥10,000","¥14,999","¥3,000","¥3,999",3.57,3.54,3.53,57,35.00174575,135.7800261,TRUE
61,Sakayaagurema,酒彩 あぐれま,Sanjo,Izakaya (Tavern),Sukiyaki,"¥4,000","¥4,999",,,3.03,3.03,,9,35.00940782,135.7701555,TRUE
62,chuugokuryourichimmin,中国料理 青冥 祇園店,Gion Shijo,Chinese,Dim sum,"¥5,000","¥5,999","¥1,000","¥1,999",3.5,3.21,3.52,44,35.00413597,135.7750117,FALSE
63,Hanasaki,花咲 錦店,Karasuma,Kyoto Cuisine,Kaiseki (Traditional Japanese),"¥10,000","¥14,999","¥4,000","¥4,999",3.58,3.54,3.58,30,35.00439962,135.763206,TRUE
64,nikushokusakabagaru,肉食酒場 garu,Gion Shijo,Bar,Sumibiyaki,"¥4,000","¥4,999",¥0,¥999,3.04,3.04,,11,35.00482165,135.7707395,TRUE
65,furenchidainingutoppuobukyouto,フレンチダイニング トップ オブ キョウト,Kyoto,French,Restaurants (other),"¥10,000","¥14,999","¥5,000","¥5,999",3.07,3.07,3.06,33,34.9861625,135.7525049,FALSE
66,takaradoukarasuma,宝堂 KARASUMA,Shijo,Izakaya (Tavern),Sukiyaki,"¥3,000","¥3,999",,,3.05,3.05,,4,35.00253471,135.756843,TRUE
67,Ikedayahananomai,池田屋　はなの舞,Kyoto Shiyakusho Mae,Izakaya (Tavern),Kyoto Cuisine,"¥3,000","¥3,999",,,3.07,3.08,3.06,59,35.00881037,135.7692595,TRUE
68,Kyoutogiontempurayasakaendou,京都祇園 天ぷら八坂圓堂,Gion Shijo,Tempura,Kaiseki (Traditional Japanese),"¥10,000","¥14,999","¥5,000","¥5,999",3.68,3.64,3.68,252,34.99891458,135.7751116,TRUE
69,Ryoumashamonoujou,龍馬 軍鶏農場 京都駅前店,Kyoto,Izakaya (Tavern),Yakitori (Grilled chicken),"¥3,000","¥3,999",,,3,3.01,3,27,34.98801827,135.7604673,TRUE
70,Komefuku,米福 四条烏丸,Karasuma,Tempura,Ten-don (Tempura Bowl),"¥2,000","¥2,999",¥0,¥999,3.55,3.51,3.56,140,35.00460623,135.7613531,TRUE
71,Gionkyouryourihanasaki,祇園 京料理 花咲,Gion Shijo,Kyoto Cuisine,Kaiseki (Traditional Japanese),"¥10,000","¥14,999","¥4,000","¥4,999",3.5,3.32,3.45,56,35.00198761,135.7761595,TRUE
72,Izakayashinoomiya,はなまる串カツ製作所 大宮店,Shijo Omiya,Izakaya (Tavern),Kushi-age (Fried Skewer),"¥2,000","¥2,999",,,3.14,3.14,,30,35.00479625,135.7478417,TRUE
73,Ittetsugurache,Ittetsu Grazie,Karasuma,Yakiniku (BBQ Beef),Bar,"¥3,000","¥3,999",¥0,¥999,3.52,3.5,3.32,33,35.0047037,135.7625385,TRUE
74,Ichishun,一瞬,Kyoto,Izakaya (Tavern),Japanese food (other),"¥4,000","¥4,999",¥0,¥999,3.53,3.52,3.4,72,34.98777994,135.7594723,TRUE
75,Nikokubaru,ニューコクバル 京都山科店,Keihan Yamashina,Izakaya (Tavern),Kushi-age (Fried Skewer),"¥2,000","¥2,999",,,3.03,3.03,,15,34.99060702,135.8160011,TRUE
76,Teppansakuwan,鉄板 さくわん,Saiin,Teppanyaki,Izakaya (Tavern),"¥3,000","¥3,999",,,3.04,3.04,,1,35.00292116,135.7308126,TRUE
77,RIGOLETTO SMOKE GRILL & BAR,RIGOLETTO SMOKE GRILL & BAR,Gion Shijo,Italian,Spain,"¥4,000","¥4,999","¥1,000","¥1,999",3.52,3.5,3.51,113,35.00238534,135.7761467,FALSE
78,Kugurinaberoppakuya,くぐり鍋 六白屋,Karasuma,Izakaya (Tavern),Japanese food (other),"¥4,000","¥4,999",,,3.08,3.04,3.12,19,35.00438452,135.7573826,TRUE
79,Kyouryouritategami,京料理 立神,Marutamachi,Kyoto Cuisine,Kaiseki (Traditional Japanese),"¥6,000","¥7,999","¥2,000","¥2,999",3.51,3.49,3.2,11,35.01765441,135.752669,TRUE
80,Pontochourobin,先斗町 魯ビン,Sanjo,Kyoto Cuisine,Kaiseki (Traditional Japanese),"¥6,000","¥7,999",,,3.48,3.23,3.5,66,35.00763747,135.7710769,TRUE
81,BELLOTA concha,ベジョータコンチャ 富小路店,Kawaramachi,Spain,Italian,"¥3,000","¥3,999","¥1,000","¥1,999",3.16,3.16,3.06,23,35.00282871,135.7648308,FALSE
82,Bejitejiya,ベジテジや 四条木屋町店,Gion Shijo,Yakiniku (BBQ Beef),Korean cuisine,"¥3,000","¥3,999",,,3.11,3.11,,46,35.00353954,135.7702626,FALSE
83,Matsuzakagyuuwattsuzakicchin,松阪牛 WHAT'S THE KITCHEN,Gion Shijo,Steak,Sushi,"¥10,000","¥14,999",,,3.06,3.06,,4,35.00628348,135.7729284,TRUE
84,Sushidokoroima,寿し処 今,Katsura,Sushi,Seafood,"¥6,000","¥7,999",,,3.53,3.53,,13,34.97985049,135.7101313,TRUE
85,Maribuagaru,まりぶあがる,Karasuma,Izakaya (Tavern),Japanese food (other),"¥3,000","¥3,999",,,3.1,3.1,,24,35.00268274,135.7612376,TRUE
86,Italian bar Lugol,イタリアンバール ルゴール,Karasuma Oike,Italian,Pasta,"¥2,000","¥2,999",¥0,¥999,3.03,3.02,3.04,28,35.01118767,135.7566701,FALSE
87,Takishokudou,ターキー食堂,Shijo,Dining bar,Izakaya (Tavern),"¥3,000","¥3,999",,,3.02,3.02,,3,35.00263301,135.7552976,TRUE
88,Bar Pleasure,バー プレジャー,Kawaramachi,Bar,Wine bar,"¥2,000","¥2,999",,,3,3,,2,35.00618862,135.7646683,TRUE
89,Sou,宗,Shijo,Izakaya (Tavern),Creative cuisine,"¥4,000","¥4,999",,,3.55,3.55,,44,35.00481777,135.7552661,TRUE
90,Kaisenizakayamatsurishungyotokyouyasaitoosakenoomise,海鮮居酒屋 祭ーMATSURIー 〜旬魚と京野菜とお酒のお店〜,Kawaramachi,Izakaya (Tavern),Seafood,"¥3,000","¥3,999",,,3.03,3.03,,7,35.00400928,135.7703008,TRUE
91,Momojirou,ももじろう 師団街道龍大前店,Fukakusa,Izakaya (Tavern),Chanko Nabe (Sumo Wrestlers Hot Pot),"¥3,000","¥3,999",,,3.04,3.04,,8,34.96281665,135.7680275,TRUE
92,Yakinikusakayaisshin,焼肉酒屋いっ心,Rokujizo,Yakiniku (BBQ Beef),Izakaya (Tavern),"¥6,000","¥7,999",,,3.1,3.1,3.05,8,34.93227203,135.7931888,TRUE
93,Kyouhonoka,京ほのか 三条木屋町店,Sanjo,Izakaya (Tavern),Creative cuisine,"¥3,000","¥3,999",,,3.01,3.02,,12,35.00908508,135.7702063,TRUE
94,Ampan,内房,Karasuma Oike,Korean cuisine,Yakiniku (BBQ Beef),"¥3,000","¥3,999","¥1,000","¥1,999",3.08,3.09,3,20,35.00851073,135.7563705,FALSE
95,rino,Lino,Karasuma Oike,Italian,Pasta,"¥6,000","¥7,999","¥1,000","¥1,999",3.2,3.05,3.2,10,35.01314247,135.7573791,FALSE
96,REAL NETA DINING ICHIZ,イチズ,Tambaguchi,Italian,Izakaya (Tavern),"¥4,000","¥4,999",¥0,¥999,3.05,3.05,3,14,34.99294509,135.7357969,FALSE
97,nikubaruginjirou,肉バル銀次郎 先斗町店,Gion Shijo,Bar,Steak,"¥3,000","¥3,999",,,3.06,3.07,,7,35.00426533,135.7709809,TRUE
98,Kushikatsutanaka,串カツ田中 西院店,Saiin,Kushi-age (Fried Skewer),Izakaya (Tavern),"¥2,000","¥2,999",,,3.02,3.02,,3,35.00378496,135.731124,TRUE
99,nihonshusumiyakiyaiki,日本酒 炭焼き家 粋,Fushimi Momoyama,Izakaya (Tavern),Kappo (Traditional Japanese),"¥3,000","¥3,999",,,3.04,3.05,3,9,34.93199404,135.7634804,TRUE
100,Taketori,竹とり,Hanazono,Fowl,Yakitori (Grilled chicken),"¥4,000","¥4,999",,,3.06,3.06,,11,35.02000809,135.7186504,TRUE
101,Pierupureshiuzu,ピエール プレシウーズ,Karasuma Oike,French,Western Cuisine,"¥5,000","¥5,999","¥1,000","¥1,999",3.06,3.04,3.06,14,35.0072607,135.762779,FALSE
102,Yamadaruma,やまだるま,Karasuma Oike,Izakaya (Tavern),Seafood,"¥3,000","¥3,999",¥0,¥999,3.03,3.03,3.03,10,35.00734065,135.7604425,TRUE
103,unagihitsumabushisumiyagura,うなぎ･ひつまぶし炭櫓 京都四条河原町店,Kawaramachi,Unagi (Freshwater eel),Kyoto Cuisine,"¥2,000","¥2,999","¥1,000","¥1,999",3.21,3.03,3.21,7,35.00358205,135.7698308,TRUE
104,pittsuxeriaba-rurenapori,ピッツェリア・バール・レ・ナポリ 京都錦,Karasuma,Italian,Pizza,"¥2,000","¥2,999",¥0,¥999,3.37,3.07,3.52,37,35.00505425,135.7621433,FALSE
105,kyoutoufusousakuhirarinteikakurean,京豆腐創作 平林亭 隠れ庵,Kyoto,Izakaya (Tavern),Tofu,"¥3,000","¥3,999","¥1,000","¥1,999",3,3,,10,34.98940589,135.7600375,TRUE
106,Yakinikusebun,焼肉 SEVEN,Tambaguchi,Yakiniku (BBQ Beef),Horumon (BBQ Offel),"¥3,000","¥3,999",,,3.3,3.3,,11,34.98936438,135.7366403,TRUE
107,Kushiyakimanten,串焼き満天 四条烏丸店,Karasuma,Yakitori (Grilled chicken),Izakaya (Tavern),"¥3,000","¥3,999",,,3.07,3.08,,17,35.00431237,135.7610598,TRUE
108,Yakinikuichiba,焼肉市場 高野店,Chayama,Yakiniku (BBQ Beef),Horumon (BBQ Offel),"¥3,000","¥3,999",,,3.04,3.04,,3,35.04059256,135.787096,TRUE
109,Pizzeria e Bar La Voce,Pizzeria e Bar La Voce,Kawaramachi,Italian,Pizza,"¥3,000","¥3,999","¥1,000","¥1,999",3.18,3.18,3.05,14,35.00244571,135.7659175,FALSE
110,Nyavetonamu,ニャーヴェトナム 京都店,Kyoto,Viet Nam cuisine,Cafe,"¥3,000","¥3,999","¥1,000","¥1,999",3.04,3.04,3.02,18,34.98870873,135.7594598,FALSE
111,Taishuusakabatenuzumasatenjingawaten,大衆酒場 天 太秦天神川店,Uzumasa Tenjingawa,Izakaya (Tavern),Yakitori (Grilled chicken),"¥3,000","¥3,999","¥3,000","¥3,999",3.02,3.02,,1,35.01139164,135.7150866,TRUE
112,hoterukeihankyoutogurandeokujoubiaga-den,ホテル京阪京都 グランデ 屋上ビアガーデン,Kyoto,Beer garden,Beer,"¥3,000","¥3,999",,,3.05,3.05,,3,34.98359958,135.7609021,TRUE
113,Gionramburu,祇園らんぶる,Gion Shijo,Kyoto Cuisine,Creative cuisine,"¥5,000","¥5,999","¥3,000","¥3,999",3.56,3.56,3.06,24,35.00311636,135.7753181,TRUE
114,Shisui,紫水,Sanjo,Izakaya (Tavern),Kyoto Cuisine,"¥3,000","¥3,999",,,3,3,,8,35.0091959,135.7705221,TRUE
115,gyouzaba-anzukko,GYOZA BAR 杏っ子,Kyoto Shiyakusho Mae,Dumplings,Chinese,"¥2,000","¥2,999",,,3.08,3.09,,25,35.00922116,135.769588,FALSE
116,jukuseiyakinikupondo,熟成焼肉 听 四条大宮店,Shijo Omiya,Yakiniku (BBQ Beef),Horumon (BBQ Offel),"¥5,000","¥5,999","¥1,000","¥1,999",3.28,3.25,3.09,26,35.0045499,135.7481739,TRUE
117,KORAN,香蘭,Sai,Korean cuisine,Yakiniku (BBQ Beef),"¥4,000","¥4,999",,,3.12,3.12,,10,35.00348033,135.7346692,FALSE
118,Kyoutonijoutosaka,京都二条とさか,Marutamachi,Kappo (Traditional Japanese),Japanese food (other),"¥8,000","¥9,999","¥2,000","¥2,999",3.53,3.36,3.57,13,35.01359001,135.7620504,TRUE
119,YAMAMURA GYUUBEI,近江牛Steak&Wine 山村牛兵衛 四条大宮店,Omiya,Izakaya (Tavern),Italian,"¥3,000","¥3,999","¥1,000","¥1,999",3.06,3.04,3.06,17,35.00506152,135.7490321,FALSE
120,Poquito,ポキート,Kyoto Shiyakusho Mae,Spain,Dining bar,"¥5,000","¥5,999",,,3.51,3.51,,83,35.01034021,135.769428,TRUE
121,Machiyashisenhoshitsukiyo,町家四川 星月夜,Omiya,Sichuan Cuisine,Shanghai Cuisine,"¥8,000","¥9,999","¥3,000","¥3,999",3.53,3.27,3.56,14,35.00146504,135.7535655,FALSE
122,Ameirobisutoroaruru,アメイロビストロアルル,Nishi Maizuru,Italian,Cafe,"¥3,000","¥3,999","¥1,000","¥1,999",3.05,3.04,3.06,8,35.4531346,135.3290181,FALSE
123,LODGE,北海道ステーキハウス LODGE,Kyoto Shiyakusho Mae,Steak,Izakaya (Tavern),"¥4,000","¥4,999","¥1,000","¥1,999",3.06,3.06,3,4,35.00979553,135.7687533,TRUE
124,Yosuke YAMAJI,山地陽介,Gion Shijo,French,Modern French,"¥20,000","¥29,999","¥8,000","¥9,999",4.02,3.68,3.75,44,35.00270808,135.7756698,FALSE
125,Feliz-Lana,フェリスラナ,Karasuma,Italian,Bar,"¥3,000","¥3,999","¥1,000","¥1,999",3.2,3.2,3.06,23,35.00233844,135.762685,FALSE
126,Wakanoshizuku,和花のしずく 三条木屋町店,Sanjo,Izakaya (Tavern),Chanko Nabe (Sumo Wrestlers Hot Pot),"¥3,000","¥3,999",,,3.02,3.02,,4,35.00909702,135.7702294,TRUE
127,fujiyakyoushoku,Fuji屋 京色,Kyoto Shiyakusho Mae,Izakaya (Tavern),Japanese food (other),"¥5,000","¥5,999","¥4,000","¥4,999",3.04,3.04,,8,35.01351755,135.7643427,TRUE
128,Teramachiyoshikura,寺町よしくら,Demachiyanagi,Kaiseki (Traditional Japanese),Kyoto Cuisine,"¥5,000","¥5,999","¥1,000","¥1,999",3.16,3.13,3.09,33,35.02876264,135.7676679,TRUE
129,sakanaryouritosakeshinsengumi,魚料理と酒 新鮮具味,Fushimi,Izakaya (Tavern),Seafood,"¥6,000","¥7,999","¥2,000","¥2,999",3.28,3.28,,38,34.94028148,135.7471631,TRUE
130,bisutorowaraku,Bistro WARAKU 四条柳馬場店,Karasuma,Bistro,Bar,"¥4,000","¥4,999","¥1,000","¥1,999",3.2,3.14,3.15,37,35.00442297,135.7640681,TRUE
131,Uroko,鱗,Kawaramachi,Izakaya (Tavern),Japanese food (other),"¥3,000","¥3,999",,,3.07,3.07,,18,35.00445418,135.770264,TRUE
132,Ipponyari,一本槍,Fujinomori,Fugu (Blowfish),Kappo (Traditional Japanese),"¥8,000","¥9,999",,,3.08,3.09,,5,34.95749214,135.7635309,TRUE
133,Higashinotouinsou,東洞院SOU,Karasuma Oike,Kappo (Traditional Japanese),Japanese food (other),"¥4,000","¥4,999","¥1,000","¥1,999",3.15,3.15,3.06,6,35.00749425,135.7610202,TRUE
134,hokkorisakabanagomiya,ほっこり酒場なごみ家,Shijo Omiya,Izakaya (Tavern),Yakitori (Grilled chicken),"¥3,000","¥3,999",,,3.06,3.06,,6,35.00615717,135.7449388,TRUE
135,teppandainingugionshou,鉄板Dining祇園 翔 縄手店,Gion Shijo,Izakaya (Tavern),Teppanyaki,"¥2,000","¥2,999",,,3.02,3.02,,1,35.004029,135.7729099,TRUE
136,Charcoal,チャコール,Shijo,Italian,Bar,"¥3,000","¥3,999",,,3.53,3.53,,19,35.00406592,135.7559905,FALSE
137,rakuenzakayaannachuraru,楽園酒屋 アンナチュラル,Demachiyanagi,Izakaya (Tavern),Dining bar,"¥2,000","¥2,999",,,3,3,,2,35.02952055,135.7791616,TRUE
138,Gionemon,祇園えもん,Higashiyama,Sushi,Kappo (Traditional Japanese),"¥6,000","¥7,999","¥1,000","¥1,999",3.48,3.39,3.23,17,35.0070682,135.7779888,TRUE
